name	mean male	noSamples_male	stddev male	mean female	noSamples_female	stddev female	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-let-7a-2-3p	2.5166586059750493	115.0	1.2825967493021202	2.404233363753359	77.0	1.2173270715882964	0.9553275752401338	-0.06593258672215027	-0.6074468289512416	0.5442797154595942	1.0
hsa-miR-29a-3p	4317.2078095143015	115.0	734.5678073023273	4429.788258123828	77.0	636.784579575232	1.0260771437412441	0.03713920142164515	1.0967561145441982	0.2741361255397413	1.0
hsa-miR-200a-3p	345.1873526734899	115.0	95.30109863514305	354.0600817604487	77.0	78.2094623977032	1.0257040966832625	0.03661459077028017	0.6781026781639466	0.4985315818143786	1.0
hsa-miR-4726-5p	0.0	115.0	0.0	0.009245534648304458	77.0	0.08112923728127157	1.0092455346483045	0.013277203707203363	1.223681262965701	0.22258783610366284	1.0
hsa-miR-6805-5p	0.13996791632025282	115.0	0.6652750732124872	0.04696035878006642	77.0	0.2121744054845167	0.33550802222860154	-1.5755808322143552	-1.1861458336386357	0.2370458699699658	1.0
hsa-miR-199b-5p	19.612561746256578	115.0	8.241675986593513	19.95944291571726	77.0	8.20239000347993	1.0176866833587863	0.025293465205904572	0.286375939479849	0.7749022192820932	1.0
hsa-miR-122b-5p	2.0838397377466387	115.0	1.3203067016635008	1.9485529396488936	77.0	1.3778341087780634	0.9350781177423761	-0.09684120007763482	-0.6837932415211396	0.49493882424764035	1.0
hsa-miR-6848-5p	0.0	115.0	0.0	0.008051148009370368	77.0	0.07064853705984793	1.0080511480093703	0.011568842317372725	1.2236812629657017	0.22258783610366284	1.0
hsa-let-7d-5p	526.3494180649161	115.0	161.35117914596805	570.2829856832035	77.0	196.33194038210462	1.0834684453149124	0.11565713732581959	1.6935038199306602	0.09199837516264198	1.0
hsa-miR-345-5p	9.703316700675073	115.0	10.350108021718913	9.772759033822984	77.0	7.516118676864703	1.0071565563909792	0.010287958988637422	0.05059748358294176	0.9596994203253832	1.0
hsa-miR-4670-5p	0.0	115.0	0.0	0.010024509725789348	77.0	0.08796471584486756	1.0100245097257894	0.014390302512530019	1.2236812629657001	0.22258783610366284	1.0
hsa-miR-299-5p	0.3005964569702473	115.0	0.5381429283165969	0.24163287727352264	77.0	0.4128293009274206	0.8038447282744893	-0.3150112394806751	-0.8141093408426135	0.4166014554564019	1.0
hsa-miR-6511b-3p	0.009918877811678852	115.0	0.0754609980706439	0.028322926879116878	77.0	0.1420744978559542	2.8554567781617815	1.5137215472965608	1.165961306564115	0.24509161381376454	1.0
hsa-miR-376b-3p	0.26725016343921065	115.0	0.48418816095963013	0.23971109301833626	77.0	0.47536641217124215	0.8969539622858322	-0.15689415666190468	-0.38907909338910746	0.6976533376563201	1.0
hsa-miR-6529-5p	4895.096204644468	115.0	1358.5651427046607	4771.592965733662	77.0	1294.5819010419063	0.9747700078307702	-0.03686623264378954	-0.6290439593168731	0.53007584045114	1.0
hsa-miR-3140-3p	0.06335966552175004	115.0	0.36938426577113587	0.05919595571655984	77.0	0.23077705314966945	0.9342845362123813	-0.09806610547971846	-0.08803336007622908	0.9299428775059007	1.0
hsa-miR-5581-3p	0.015619601353832656	115.0	0.12270307777281597	0.011363692471867932	77.0	0.09971599674991705	0.7275276887319259	-0.45892593877561605	-0.25338544605716296	0.8002443347609096	1.0
hsa-miR-7848-3p	0.0	115.0	0.0	0.006946377298046997	77.0	0.06095421341175145	1.006946377298047	0.009986857857110577	1.2236812629657023	0.22258783610366284	1.0
hsa-miR-532-3p	50.121013166233226	115.0	7.679083918074716	48.782259937833665	77.0	7.434240599333451	0.9732895816778603	-0.03905898269298345	-1.1990987573873861	0.2319828501654021	1.0
hsa-miR-486-3p	7.905748457563782	115.0	31.697816685733677	6.588405942695595	77.0	11.34447798324752	0.8333690324275589	-0.262972603670109	-0.3497389641462014	0.7269219634342958	1.0
hsa-miR-124-3p	14772.494130716848	115.0	1967.8893888586715	14737.180311145341	77.0	1684.3076781215082	0.9976094883329093	-0.00345290808211201	-0.12896040660396624	0.8975253873575223	1.0
hsa-miR-3085-5p	0.005968160876312221	115.0	0.064001395205398	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645244	0.41463305945955486	1.0
hsa-miR-26a-2-3p	0.9773384027465866	115.0	0.9964835188384884	0.9119977874701296	77.0	1.0791224699543878	0.9331443284200927	-0.09982785647659899	-0.4306738739720937	0.6671936729176063	1.0
hsa-miR-885-5p	540.3767084228297	115.0	164.96394245743133	564.9388228967872	77.0	150.95893850390559	1.0454536883087462	0.06412915458445394	1.0457375060017564	0.2970108057000662	1.0
hsa-miR-6716-3p	0.0094205799304295	115.0	0.10102446493768373	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645236	0.41463305945955486	1.0
hsa-miR-3680-3p	0.0	115.0	0.0	0.014019265527034037	77.0	0.12301855573711763	1.0140192655270341	0.020085062613715423	1.2236812629657021	0.22258783610366284	1.0
hsa-miR-204-5p	95.27685108033893	115.0	82.0749547709059	104.1728907644781	77.0	62.65537078650441	1.0933704208657975	0.12878225170605911	0.8064535143616886	0.4209896686415241	1.0
