name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-3619-3p	0	0	19	0
hsa-miR-23c	60	0	4	23
hsa-miR-181b-5p	16275	0	70820	12605
hsa-miR-493-5p	4	0	17	5
hsa-miR-132-5p	3	0	27	3
hsa-miR-498-3p	4	0	12	6
hsa-miR-324-5p	66	0	841	45
hsa-miR-877-5p	45	0	476	101
hsa-miR-382-3p	0	0	5	0
hsa-miR-3940-3p	14	0	27	12
hsa-miR-708-5p	18	0	96	47
hsa-miR-574-3p	9838	0	4399	9840
hsa-miR-1304-3p	29	0	22	39
hsa-miR-766-3p	43	0	94	40
hsa-let-7g-5p	49020	0	180929	65397
hsa-miR-33a-5p	40	0	667	452
hsa-miR-16-2-3p	79	0	262	35
hsa-miR-126-5p	38	0	337	3
hsa-miR-202-5p	0	0	64	0
hsa-miR-6778-5p	0	0	3	0
hsa-miR-4633-3p	0	0	9	2
hsa-miR-6854-5p	0	0	2	0
hsa-miR-19a-3p	2353	0	13616	8549
hsa-miR-6743-3p	2	0	6	2
hsa-miR-181a-2-3p	2994	0	13174	1642
hsa-miR-4796-3p	0	0	5	0
hsa-miR-3928-3p	2	0	27	20
hsa-miR-3620-3p	2	0	5	0
hsa-miR-4680-3p	0	0	8	0
hsa-miR-5100	3118	0	182	5
hsa-miR-1537-3p	0	0	0	2
hsa-miR-374c-3p	0	0	1	0
hsa-miR-330-3p	698	0	922	249
hsa-miR-135a-2-3p	95	0	1046	268
hsa-miR-522-3p	19	0	142	38
hsa-miR-6813-3p	0	0	2	0
hsa-miR-4482-3p	0	0	2	0
hsa-miR-544a	0	0	4	0
hsa-miR-2116-5p	2	0	4	5
hsa-miR-627-5p	28	0	106	141
hsa-miR-493-3p	0	0	6	0
hsa-miR-519e-3p	0	0	7	8
hsa-miR-181b-3p	11	0	31	21
hsa-miR-132-3p	1354	0	2474	1231
hsa-miR-511-5p	1027	0	12198	2465
hsa-miR-324-3p	599	0	3109	251
hsa-miR-708-3p	17	0	8	26
hsa-miR-5008-5p	0	0	2	0
hsa-let-7b-5p	72806	0	377856	20452
hsa-let-7f-2-3p	133	0	73	236
hsa-let-7g-3p	253	0	282	712
hsa-miR-588	0	0	4	0
hsa-miR-33a-3p	302	0	165	693
hsa-miR-598-5p	0	0	2	0
hsa-miR-586	0	0	3	0
hsa-miR-518d-5p	0	0	0	1
hsa-miR-126-3p	2	0	915	4
hsa-miR-581	0	0	0	5
hsa-miR-2355-5p	3	0	0	0
hsa-miR-323a-3p	5	0	6	3
hsa-miR-505-5p	2	0	41	2
hsa-miR-6773-5p	0	0	2	0
hsa-miR-28-5p	1536	0	26883	1547
hsa-miR-450a-5p	2	0	12	6
hsa-miR-942-5p	3	0	39	7
hsa-miR-200a-5p	2022	0	11445	1046
hsa-miR-7977	3	0	78	2
hsa-miR-7976	0	0	2	0
hsa-miR-6499-5p	4	0	85	9
hsa-miR-1-3p	64	0	1002	261
hsa-miR-744-5p	435	0	3926	439
hsa-miR-29a-5p	158	0	415	383
hsa-miR-577	6	0	169	32
hsa-miR-6848-3p	0	0	4	0
hsa-miR-1911-5p	0	0	3	0
hsa-miR-365a-5p	152	0	267	131
hsa-miR-548ar-3p	0	0	2	3
hsa-miR-519a-2-5p	0	0	6	0
hsa-miR-2116-3p	0	0	12	0
hsa-miR-627-3p	0	0	2	0
hsa-miR-6895-3p	0	0	2	0
hsa-miR-6721-5p	0	0	6	0
hsa-miR-3691-5p	0	0	41	2
hsa-miR-511-3p	32835	0	21675	215667
hsa-miR-196a-1-3p	99	0	61	134
hsa-miR-6726-3p	0	0	5	0
hsa-let-7b-3p	3331	0	3788	5594
hsa-miR-598-3p	1408	0	7240	991
hsa-miR-424-5p	314	0	1111	275
hsa-miR-206	4	0	19	24
hsa-miR-616-5p	10	0	21	6
hsa-miR-7113-5p	0	0	3	0
hsa-miR-518d-3p	7	0	16	9
hsa-miR-6884-5p	0	0	22	0
hsa-miR-520b-5p	0	0	6	0
hsa-miR-2355-3p	3	0	18	0
hsa-miR-505-3p	110	0	258	159
hsa-miR-520g-3p	14	0	43	7
hsa-miR-3190-3p	25	0	11	17
hsa-miR-28-3p	6765	0	21910	5562
hsa-miR-4768-5p	0	0	2	0
hsa-miR-942-3p	16	0	12	30
hsa-miR-200a-3p	104186	0	437873	106826
hsa-miR-450a-1-3p	0	0	3	0
hsa-miR-151b	1110	0	4144	1816
hsa-miR-6762-5p	0	0	3	0
hsa-miR-17-5p	2714	0	11077	3165
hsa-miR-744-3p	3	0	19	23
hsa-miR-29a-3p	165148	0	159528	144520
hsa-miR-197-5p	0	0	4	0
hsa-miR-6843-3p	0	0	20	5
hsa-miR-4477a	2	0	3	0
hsa-miR-103a-2-5p	171	0	146	146
hsa-miR-181b-2-3p	2	0	9	2
hsa-miR-3173-5p	0	0	7	0
hsa-miR-548ah-5p	3	0	20	0
hsa-miR-3912-3p	22	0	43	33
hsa-miR-365a-3p	5178	0	10599	8228
hsa-miR-6832-5p	0	0	2	0
hsa-miR-30c-5p	41401	0	123594	75197
hsa-miR-6837-3p	0	0	4	0
hsa-miR-4698	3	0	0	0
hsa-miR-29b-1-5p	0	0	23	0
hsa-miR-30c-1-3p	0	0	10	0
hsa-miR-3691-3p	0	0	0	3
hsa-miR-219a-2-3p	0	0	66	0
hsa-miR-424-3p	3	0	0	0
