name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-942-5p	0	0	13	2	0	4	23	0	27	2	0	0	7	78.0
hsa-miR-25-5p	0	11	4	0	0	8	13	0	25	2	0	2	13	78.0
hsa-miR-1306-3p	0	0	6	0	0	2	0	0	20	0	0	0	49	77.0
hsa-miR-148a-5p	0	0	10	0	0	0	5	0	38	11	0	0	11	75.0
hsa-miR-4677-3p	0	0	0	0	0	3	0	0	52	0	0	0	20	75.0
hsa-miR-654-3p	4	4	0	0	0	12	27	0	5	4	0	9	10	75.0
hsa-miR-3164	0	0	0	0	0	0	0	0	53	0	0	0	21	74.0
hsa-miR-204-3p	0	2	0	0	0	0	0	0	54	3	0	6	9	74.0
hsa-miR-5695	0	0	0	0	0	0	0	0	57	0	0	0	16	73.0
hsa-miR-147b-3p	0	0	0	0	0	0	3	0	66	0	0	0	4	73.0
hsa-miR-130b-3p	0	3	4	0	0	2	7	0	41	0	0	0	15	72.0
hsa-miR-410-3p	5	4	4	0	0	0	9	0	31	0	0	0	18	71.0
hsa-miR-659-5p	0	0	0	0	0	0	0	0	58	0	0	0	11	69.0
hsa-miR-3177-3p	2	0	0	0	0	3	3	0	40	3	0	2	15	68.0
hsa-miR-378d	0	7	0	0	0	2	0	0	45	0	0	2	11	65.5
hsa-miR-181c-3p	0	0	2	0	0	0	0	0	54	0	0	0	8	64.0
hsa-miR-10a-3p	0	0	0	0	0	0	0	0	60	0	0	0	3	63.0
hsa-miR-193b-5p	0	3	0	0	0	2	0	0	13	2	0	0	43	63.0
hsa-miR-424-5p	0	0	2	0	0	0	0	0	47	0	0	0	14	63.0
hsa-miR-181d-5p	0	2	6	0	0	12	13	0	13	0	0	7	10	63.0
hsa-miR-671-3p	0	0	0	0	0	2	32	0	19	0	0	6	4	63.0
hsa-miR-3138	0	0	0	0	0	2	7	0	36	2	0	2	13	62.0
hsa-miR-205-5p	2	4	0	4	0	0	10	0	23	0	0	4	15	62.0
hsa-miR-122b-5p	0	0	0	0	0	0	5	0	35	0	0	0	22	62.0
hsa-miR-4466	2	7	7	9	4	6	11	0	0	4	0	10	2	62.0
hsa-miR-30b-5p	4	0	2	0	0	0	15	0	14	1	0	6	20	61.34
hsa-miR-34c-5p	0	0	0	0	0	0	0	0	37	0	0	0	24	61.0
hsa-miR-181c-5p	2	0	9	2	0	0	4	0	18	0	0	0	24	59.0
hsa-miR-214-3p	0	2	0	0	0	0	14	0	14	2	0	22	5	59.0
hsa-miR-132-5p	0	17	0	0	0	3	7	0	22	2	0	5	2	58.0
hsa-miR-33a-5p	0	0	2	3	2	11	12	0	28	0	0	0	0	58.0
hsa-miR-133a-5p	3	0	3	0	0	0	36	0	8	4	0	3	0	57.0
hsa-miR-140-5p	2	2	3	3	0	0	21	0	9	2	0	6	9	57.0
hsa-miR-501-3p	4	2	4	0	0	0	13	0	24	2	0	4	3	56.0
hsa-miR-4669	0	0	2	0	0	0	0	0	29	0	0	2	23	56.0
hsa-miR-10401-5p	4	0	6	5	4	0	28	0	0	9	0	0	0	55.92
hsa-miR-130b-5p	2	0	11	0	0	3	31	0	0	0	0	8	0	55.0
hsv2-miR-H12	0	0	0	0	0	0	0	20	0	0	34	0	0	54.0
hsa-miR-548j-5p	5	8	5	0	3	0	2	0	17	3	0	0	11	54.0
hsa-miR-450a-5p	0	8	2	2	0	3	13	0	12	0	0	7	7	54.0
hsa-miR-361-5p	0	0	2	0	0	0	14	0	20	0	0	11	6	53.0
hsa-miR-3196	0	18	3	3	5	9	4	0	0	8	0	3	0	53.0
hsa-miR-574-3p	0	0	0	0	0	0	0	0	0	0	0	53	0	53.0
hsa-miR-6734-5p	0	0	6	0	0	4	4	0	12	0	0	0	26	52.0
hsa-miR-1185-1-3p	0	0	2	0	0	4	0	0	44	0	0	0	2	52.0
hsa-miR-6866-5p	0	0	0	0	0	0	0	0	28	0	0	0	23	51.0
hsa-miR-1273h-3p	5	0	2	0	0	0	0	0	32	0	0	0	12	51.0
hsa-miR-3074-5p	2	0	2	0	0	2	0	0	39	2	0	0	3	50.0
hsa-miR-873-5p	0	2	0	2	0	0	0	0	41	0	0	0	4	49.0
hsa-miR-511-3p	2	0	2	5	0	5	4	0	0	9	0	16	6	49.0
hsa-miR-502-3p	0	0	0	0	0	0	13	0	12	0	0	2	23	49.0
hsa-miR-3143	0	0	0	0	0	0	0	0	16	0	0	0	32	48.0
hsa-miR-4488	0	2	9	0	6	2	12	0	11	2	0	0	4	48.0
